imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_noise\LZ_noise_179.jpg,LZ_noise\LZ_noise_11.jpg,LZ_noise\LZ_noise_200.jpg,LZ_noise\LZ_noise_167.jpg,LZ_noise\LZ_noise_107.jpg,LZ_noise\LZ_noise_78.jpg,LZ_noise\LZ_noise_81.jpg,LZ_noise\LZ_noise_117.jpg,LZ_noise\LZ_noise_70.jpg,LZ_noise\LZ_noise_124.jpg,LZ_noise\LZ_noise_186.jpg,LZ_noise\LZ_noise_21.jpg,,,,,3,LZ_noise\LZ_noise_64.jpg,0,l,3,33
LZ_natural\LZ_natural_114.jpg,LZ_natural\LZ_natural_147.jpg,LZ_natural\LZ_natural_125.jpg,LZ_natural\LZ_natural_29.jpg,LZ_natural\LZ_natural_43.jpg,LZ_natural\LZ_natural_189.jpg,LZ_natural\LZ_natural_209.jpg,LZ_natural\LZ_natural_236.jpg,LZ_natural\LZ_natural_53.jpg,LZ_natural\LZ_natural_210.jpg,LZ_natural\LZ_natural_159.jpg,LZ_natural\LZ_natural_137.jpg,,,,,3,LZ_natural\LZ_natural_149.jpg,0,l,1,13
LZ_noise\LZ_noise_28.jpg,LZ_noise\LZ_noise_12.jpg,LZ_noise\LZ_noise_140.jpg,LZ_noise\LZ_noise_35.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_216.jpg,0,l,3,31
LZ_natural\LZ_natural_106.jpg,LZ_natural\LZ_natural_140.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_117.jpg,LZ_natural\LZ_natural_60.jpg,LZ_natural\LZ_natural_44.jpg,LZ_natural\LZ_natural_123.jpg,LZ_natural\LZ_natural_64.jpg,,,,,,,,,2,LZ_natural\LZ_natural_16.jpg,0,l,1,12
LZ_natural\LZ_natural_222.jpg,LZ_natural\LZ_natural_61.jpg,LZ_natural\LZ_natural_9.jpg,LZ_natural\LZ_natural_228.jpg,LZ_natural\LZ_natural_227.jpg,LZ_natural\LZ_natural_132.jpg,LZ_natural\LZ_natural_225.jpg,LZ_natural\LZ_natural_23.jpg,LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_86.jpg,LZ_natural\LZ_natural_134.jpg,LZ_natural\LZ_natural_77.jpg,,,,,3,LZ_natural\LZ_natural_134.jpg,1,a,1,13
LZ_natural\LZ_natural_31.jpg,LZ_natural\LZ_natural_214.jpg,LZ_natural\LZ_natural_96.jpg,LZ_natural\LZ_natural_92.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_31.jpg,1,a,1,11
LZ_natural\LZ_natural_229.jpg,LZ_natural\LZ_natural_66.jpg,LZ_natural\LZ_natural_163.jpg,LZ_natural\LZ_natural_188.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_163.jpg,1,a,1,11
LZ_noise\LZ_noise_89.jpg,LZ_noise\LZ_noise_115.jpg,LZ_noise\LZ_noise_129.jpg,LZ_noise\LZ_noise_212.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_89.jpg,1,a,3,31
LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_233.jpg,LZ_noise\LZ_noise_26.jpg,LZ_noise\LZ_noise_34.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_162.jpg,0,l,3,31
LZ_natural\LZ_natural_82.jpg,LZ_natural\LZ_natural_1.jpg,LZ_natural\LZ_natural_54.jpg,LZ_natural\LZ_natural_231.jpg,LZ_natural\LZ_natural_208.jpg,LZ_natural\LZ_natural_170.jpg,LZ_natural\LZ_natural_233.jpg,LZ_natural\LZ_natural_40.jpg,,,,,,,,,2,LZ_natural\LZ_natural_138.jpg,0,l,1,12
LZ_scrambled\LZ_scrambled_16.jpg,LZ_scrambled\LZ_scrambled_51.jpg,LZ_scrambled\LZ_scrambled_5.jpg,LZ_scrambled\LZ_scrambled_196.jpg,LZ_scrambled\LZ_scrambled_28.jpg,LZ_scrambled\LZ_scrambled_56.jpg,LZ_scrambled\LZ_scrambled_221.jpg,LZ_scrambled\LZ_scrambled_3.jpg,LZ_scrambled\LZ_scrambled_88.jpg,LZ_scrambled\LZ_scrambled_61.jpg,LZ_scrambled\LZ_scrambled_114.jpg,LZ_scrambled\LZ_scrambled_192.jpg,,,,,3,LZ_scrambled\LZ_scrambled_69.jpg,0,l,2,23
LZ_natural\LZ_natural_186.jpg,LZ_natural\LZ_natural_20.jpg,LZ_natural\LZ_natural_124.jpg,LZ_natural\LZ_natural_178.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_118.jpg,LZ_natural\LZ_natural_193.jpg,,,,,,,,,2,LZ_natural\LZ_natural_64.jpg,0,l,1,12
LZ_scrambled\LZ_scrambled_183.jpg,LZ_scrambled\LZ_scrambled_132.jpg,LZ_scrambled\LZ_scrambled_137.jpg,LZ_scrambled\LZ_scrambled_2.jpg,LZ_scrambled\LZ_scrambled_182.jpg,LZ_scrambled\LZ_scrambled_171.jpg,LZ_scrambled\LZ_scrambled_81.jpg,LZ_scrambled\LZ_scrambled_20.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_171.jpg,1,a,2,22
